aṭala,,
aṭāṭyamāna,,
aṭṭa,,
aṇaka,,
aṇakīya,,
aṇiṣṭha,,
aṇīyaska,,
aṇuka,,
aṇutara,,
aṇumātra,,
aṇumātrika,,
aṇṭhita,,
aṇḍaja,,
aṇḍara,ī,
aṇḍākāra,,
atajjña,,
ataṭa,,
atathocita,,
atathya,,
atadarha,,
ataddhita,,
atantra,,
atandra,,
atandrita,,
atapaska,,
atapasya,,
atapta,,
atapyamāna,,
atamāviṣṭa,,
atamisra,,
atara,,
ataritra,,
atarka,,
atarkita,,
atarkitopapanna,,
atarkya,,
atalasparśa,,
atasāyya,,
ataskara,,
atasthāna,,
atāpasa,,
atikaṭhora,,
atikatha,,
atikalyāṇa,ī,
atikaśa,,
atikānta,,
atikāya,,
atikiriṭa,,
atikirīṭa,,
atikutsita,,
atikulva,,
atikṛcchra,,
atikṛta,,
atikṛtārtha,,
atikṛśa,,
atikṛṣṇa,,
atikramaṇa,ī,
atikramaṇīya,,
atikrāntaniṣedha,,
atikrānta,,
atikrāntātikrānta,,
atikrāmaka,,
atikruddha,,
atikṣipta,,
atikhaṭva,,
atikhara,,
atigaṇḍa,,
atigata,,
atigandha,,
atigarvita,,
atigava,,
atigahana,,
atiga,,
atigāḍha,,
atiguṇa,,
atigupta,,
atighnya,,
aticaṇḍa,,
aticara,,
aticira,,
atijana,,
atijara,,
atijala,,
atijava,,
atijāgara,,
atijāta,,
atijīrṇa,,
atijīva,,
atitata,,
atitikṣamāṇa,,
atitīkṣṇa,,
atitīvra,,
atitṛṇṇa,,
atitṛṣṇa,,
atithideva,,
atithyartha,,
atidagdha,,
atidantura,,
atidarpa,,
atidāruṇa,,
atidiṣṭa,,
atidīrgha,,
atiduḥkhita,,
atiduḥsaha,,
atidurgata,,
atidurdharṣa,,
atidurlambha,,
atiduṣkara,,
atiduṣkhita,,
atidūra,,
atideśa,,
atidvaya,,
atidhavala,,
atināṣṭra,,
atinidra,,
atinipuṇa,,
atinīca,,
atipatita,,
atipada,,
atipanna,,
atipara,,
atiparokṣa,,
atipātita,,
atipātya,,
atipāraya,,
atipūta,,
atipeśala,,
atiprakāśa,,
atipramāṇa,,
atipraviddha,,
atipravṛddha,,
atipraśnya,,
atiprasiddha,,
atiprasṛta,,
atiprāṇapriya,,
atiprauḍhayauvana,,
atiprauḍha,,
atibala,,
atibālaka,,
atibībhatsa,,
atibodhisattva,,
atibhārabhūta,,
atibhīṣaṇa,,
atibhṛta,,
atimaṅgalya,,
atimartya,,
atimaryāda,,
atimātra,,
atimānita,,
atimānuṣa,,
atimāya,,
atimāruta,,
atimāla,,
atimita,,
atimirmira,,
atimukta,,
atimemiṣa,,
atiyaśa,,
atirakta,,
atirātra,,
atirikta,,
atiriktāṅga,,
atirucira,,
atirūpa,,
atiromaśa,,
atilamba,,
atilubdha,,
atilulita,,
atilobha,,
