atyadbhuta,,
atyanila,,
atyantakopana,,
atyantagata,,
atyantaga,,
atyantagāmin,ī,
atyantaguṇin,ī,
atyantasukumāra,,
atyanta,,
atyantika,,
atyantīna,,
atyabhisṛta,,
atyamarṣaṇa,,
atyamarṣin,ī,
atyamla,,
atyayin,ī,
atyartha,,
atyalpa,,
atyasama,,
atyasta,,
atyahna,,
atya,,
atyākhaṇḍalavikrama,,
atyācāra,,
atyāditya,,
atyānanda,,
atyāśita,,
atyāsanna,,
atyāsārin,ī,
atyāhārin,ī,
atyāhita,,
atyugra,,
atyutkaṭa,,
atyudāra,,
atyupadha,,
atyulbaṇa,,
atyulvaṇa,,
atyuṣṇa,,
atyūrdhvākṣa,,
atratya,,
atrapa,,
atra,,
atrāsita,,
atrijāta,,
atrirātrayājin,ī,
atvakka,,
atvara,,
atsaruka,,
atharya,,
atharvāṅgirasa,,
adaka,,
adakṣa,,
adakṣiṇa,,
adakṣiṇīya,,
adakṣiṇya,,
adagdha,,
adaṇḍanīya,,
adaṇḍavāsika,,
adaṇḍa,,
adaṇḍya,,
adatka,,
adatta,,
adanīya,,
adantaka,,
adantajāta,,
adanta,,
adantāghātin,ī,
adantya,,
adabdha,,
adabha,,
adabhra,,
adambha,,
adamya,,
adaya,,
adara,,
adarśana,,
adarśanīya,,
adala,,
adaśamāsya,,
adasīya,ī,
adasta,,
ada,,
adāna,,
adānīya,,
adānta,,
adānya,,
adābhya,,
adāyāda,ī,
adāyika,,
adāyin,ī,
adāhuka,,
adāhya,,
adikka,,
adīkṣita,,
adīnasattva,,
adīna,,
adīpita,,
adīrghadarśin,ī,
adīrghasūtra,,
adīrgha,,
aduḥkha,,
adugdha,,
aducchuna,,
adurga,,
adurmakha,,
adurvṛtta,,
aduṣṭa,,
aduhāna,,
adūna,,
adūrabhava,,
adūra,,
adūṣita,,
adṛḍha,,
adṛpita,,
adṛpta,,
adṛśya,,
adṛṣṭaja,,
adṛṣṭapūrva,,
adṛṣṭaphala,,
adṛṣṭarūpa,,
adṛṣṭa,,
adṛṣṭārtha,,
adeya,,
adevatra,,
adevamātṛka,,
adeva,,
adeśaja,,
adeśastha,,
adeśika,,
adeśya,,
adaiva,,
adomada,,
adomadha,,
adomaya,,
adomūla,,
adoṣadarśin,ī,
adoṣa,,
addhātama,,
addhyālohakarṇa,,
adbhutagandha,,
adbhutadarśana,,
adbhutarūpa,,
adbhutasaṃkāśa,,
adbhuta,,
adbhutārtha,,
adbhutopama,,
admara,,
adyatana,ī,
adyatanīya,,
adyaśva,,
adyaśvīna,,
adya,,
adyūtya,,
adyotaka,,
adrava,,
adravya,,
adrija,,
adrijūta,,
adridugdha,,
adribudhna,,
adriṣuta,,
adrisaṃhata,,
adrisāramaya,,
adruta,,
adruhāṇa,,
adreśya,,
adrogha,,
adroghāvita,,
adrohin,ī,
advaya,,
advayāvin,ī,
advādaśāha,,
advija,,
advitīya,,
advivarṣa,,
adviṣeṇya,,
adveṣarāgin,ī,
adveṣa,,
adveṣin,ī,
advaita,,
advaidha,,
adhaḥkṛta,,
adhaḥkhāta,,
adhaḥprāṅśāyin,ī,
adhaḥśaya,,
adhaḥśayya,,
adhaḥśāyin,ī,
adhaḥsaṃveśin,ī,
adhaḥstha,,
adhaḥsthānāsana,,
adhaḥsthita,,
adhana,,
adhanya,,
adhapriya,,
adhama,,
adhamācāra,,
adhamādhama,,
adhamārdhya,,
adharamūla,,
adharasapatna,,
adhara,,
adharācīna,,
adharācya,,
adharima,,
adharīkṛta,,
adharīṇa,,
adharībhūta,,
adharottara,,
adharmacārin,ī,
adharmamaya,,
adharmin,ī,
adharmiṣṭha,,
adharmya,,
adhastana,,
adhaspada,,
adhāraṇaka,,
adhārayamāṇa,,
adhārmika,,
adhārya,,
adhāsanaśāyin,ī,
adhikakṣayakārin,ī,
adhikaraṇa,,
adhikaṣāṣṭika,,
adhikasāptatika,,
adhika,,
adhikākṣara,,
adhikāṅga,ī,
adhikādhika,,
adhikāraka,,
adhikārastha,,
adhikārāḍhya,,
adhikārin,ī,
adhikārtha,,
adhikṛta,,
adhikopama,,
adhikṣipadabjanetra,,
adhikṣipta,,
adhigata,,
adhigantavya,,
adhigamanīya,,
adhigamya,,
adhigartya,,
adhigava,,
adhiguṇa,,
adhigupta,,
adhicaṅkrama,,
adhicara,,
adhija,,
adhijya,,
adhidārva,,
adhidaivika,,
adhipāṃśula,,
adhipāṃsula,,
adhipeṣaṇa,,
adhimanthana,,
adhimanthita,,
adhimātra,,
adhimukta,,
adhiyajña,,
adhiratha,,
adhirukma,,
adhirūḍhasamādhiyoga,,
adhirūḍha,,
adhirūḍhākarṇa,,
adhiropita,,
adhiroha,,
adhirohin,ī,
adhivastra,,
adhivāsanīya,,
adhivāsita,,
adhivāsin,ī,
adhivīta,,
adhiśayana,,
adhiśayita,,
adhiśasta,,
adhiśrayaṇīya,,
adhiśrita,,
adhiṣavaṇa,,
adhiṣṭhāyaka,,
adhiṣṭhita,,
adhiṣṭheya,,
adhisyada,,
adhītarasa,,
adhīta,,
adhītin,ī,
adhīna,,
adhīyāna,,
adhīra,,
adhīlohakarṇa,,
adhīṣṭa,,
adhunātana,ī,
adhura,,
adhūmaka,,
adhṛta,,
adhṛṣṭa,,
adhṛṣya,,
adhairya,,
adhokṣa,,
adhogata,,
adhogāmin,ī,
adhonivīta,,
adhobhava,,
adhobhāgadoṣahara,,
adhomayūkha,,
adhovadana,,
adhovekṣin,ī,
adhyaṃsa,,
adhyakta,,
adhyadhīna,,
adhyayanīya,,
adhyardhakaṃsa,ī,
adhyardhaka,,
adhyardhakākiṇīka,,
adhyardhakārṣāpaṇa,,
adhyardhakārṣāpaṇika,,
adhyardhakhārīka,,
adhyardhapaṇya,,
adhyardhapādya,,
adhyardhapratika,,
adhyardhamāṣya,,
adhyardhaviṃśatikīna,,
adhyardhaśatamāna,,
adhyardhaśata,,
