300,triśata;tri śata,triśata;triśatatama;tṛtīya śatatama
345,pañcacatvāriṃśaduttara triśata;pañcacatvāriṃśadadhika triśata,pañcacatvāriṃśaduttara triśatatama;pañcacatvāriṃśadadhika triśatatama
1000,sahasra,sahasratama
1002,dvisahasra;dvyuttarasahasra;dvyuttara sahasra;dvyadhikasahasra;dvyadhika sahasra,dvisahasra;dvisahasratama;dvyuttarasahasratama;dvyuttara sahasratama;dvyadhikasahasratama;dvyadhika sahasratama
2000,dvisahasra;dvi sahasra,dvisahasratama;dvitīya sahasratama
2984,caturaśītyuttara navaśatādhika dvisahasra;caturaśītyadhika navaśatādhika dvisahasra,caturaśītyuttara navaśatādhika dvisahasratama;caturaśītyadhika navaśatādhika dvisahasratama
10000,ayuta,ayutatama
100000,lakṣa,lakṣatama
1000000,prayuta,prayutatama
10000000,koṭi,koṭitama
100000000,arbuda,arbudatama
