m:a:aṃśa
m:a:agninārāyaṇa
m:a:agniniryāsa
m:a:agnipada
m:a:agniparicchada
m:a:agniparvata
m:a:agnipāta
m:a:agniputra
m:a:agnipraveśa
m:a:agnipraveśana
m:a:agniprastara
m:a:agnimantha
m:a:agnimāṭhara
m:a:agnimitra
m:a:agnimindha
m:a:agnimīyāma
m:a:agnimukha
m:a:agniyuta
m:a:agniraja
m:a:agniloka
m:a:agnilocana
m:a:agnivarṇa
m:a:agnivallabha
m:a:agnivāṇa
m:a:agnivāha
m:a:agnivisarpa
m:a:agnivetāla
m:a:agniveśa
m:a:agniveśya
m:a:agniśikha
m:a:agniśeṣa
m:a:agniṣṭoma
m:a:agniṣṭomasāma
m:a:agniṣṭha
m:a:agniṣvātta
m:a:agnisaṃcaya
m:a:agnisaṃskāra
m:a:agnisakha
m:a:agnisambhava
m:a:agnisava
m:a:agnisahāya
m:a:agnisāda
m:a:agnisiṃha
m:a:agnistambha
m:a:agnistoka
m:a:agnihotṛbrāhmaṇa
m:a:agnihotrahoma
m:a:agnihotrīvatsa
m:a:agnihoma
m:a:agnīdhra
m:a:agnīṣomīyanirvāpa
m:a:agnīṣomīyapuroḍāśa
m:a:agnīṣomīyayāga
m:a:agnīṣomīyaikādaśakapāla
m:a:agnyagāra
m:a:agnyabhāva
m:a:agnyāgāra
m:a:agnyālaya
m:a:agnyāhita
m:a:agnyutpāta
m:a:agnyedha
m:a:agrakara
m:a:agrakāya
m:a:agraga
m:a:agraja
m:a:agrajātaka
m:a:agratalasaṃcāra
m:a:agratīrtha
m:a:agradharma
m:a:agranakha
m:a:agrapāka
m:a:agrapāda
m:a:agrabīja
m:a:agrabhāga
m:a:agraśrāvaka
m:a:agrasena
m:a:agraha
m:a:agrahasta
m:a:agrahāyaṇa
m:a:agrahāra
m:a:agrāṃśa
m:a:agrānta
m:a:agriya
m:a:agrīya
m:a:agrevadha
m:a:agresarika
m:a:agrya
m:a:agha
m:a:aghaghna
m:a:aghaṇṭa
m:a:aghadeva
m:a:aghanāśaka
m:a:aghamarṣaṇa
m:a:aghahāra
m:a:aghāta
m:a:aghāśva
m:a:aghāsura
m:a:aghora
m:a:aghoraghaṇṭa
m:a:aghoraghorarūpa
m:a:aghoramārga
m:a:aghoṣa
m:a:aghnya
m:a:aṅka
m:a:aṅkakāra
m:a:aṅkaccheda
m:a:aṅkapāla
m:a:aṅkapāśa
m:a:aṅkapāśavyavahāra
m:a:aṅkapāśādhyāya
m:a:aṅkabandha
m:a:aṅkaloḍya
m:a:aṅkāra
m:a:aṅkāvatāra
m:a:aṅkuṭa
m:a:aṅkuḍaka
m:a:aṅkura
m:a:aṅkuraka
m:a:aṅkuśagraha
m:a:aṅkuśadurdhara
m:a:aṅkūra
m:a:aṅkoṭa
m:a:aṅkoṭha
m:a:aṅkola
m:a:aṅkolaka
m:a:aṅkolla
m:a:aṅkollasāra
m:a:aṅkya
m:a:aṅga
m:a:aṅgakaṣāya
m:a:aṅgagraha
m:a:aṅgaja
m:a:aṅgada
m:a:aṅgadvīpa
m:a:aṅganāgaṇa
m:a:aṅganājana
m:a:aṅganāpriya
m:a:aṅganyāsa
m:a:aṅgabha
m:a:aṅgabheda
m:a:aṅgamantra
m:a:aṅgamarda
m:a:aṅgamardaka
m:a:aṅgamarṣa
m:a:aṅgayāga
m:a:aṅgarakta
m:a:aṅgarāga
m:a:aṅgarāja
m:a:aṅgaloka
m:a:aṅgaloḍya
m:a:aṅgava
m:a:aṅgavikṣepa
m:a:aṅgasaṃskāra
m:a:aṅgasaṅga
m:a:aṅgaskandha
m:a:aṅgasparśa
m:a:aṅgasphuraṇavicāra
m:a:aṅgahāra
m:a:aṅgahīna
m:a:aṅgāṅgibhāva
m:a:aṅgāṅgibhāvasaṃkara
m:a:aṅgādhipa
m:a:aṅgāra
m:a:aṅgāraka
m:a:aṅgārakadina
m:a:aṅgārakarmānta
m:a:aṅgārakavāra
m:a:aṅgārakuṣṭhaka
m:a:aṅgāraparṇa
m:a:aṅgārapuṣpa
m:a:aṅgāravāra
m:a:aṅgira
m:a:aṅgirasa
m:a:aṅgīkāra
m:a:aṅgurīya
m:a:aṅgurīyaka
m:a:aṅgula
m:a:aṅgulija
m:a:aṅguliveṣṭaka
m:a:aṅguliveṣṭana
m:a:aṅguliṣaṅga
m:a:aṅgulisaṃdaṃsa
m:a:aṅgulībhaṅga
m:a:aṅgulīveṣṭa
m:a:aṅgulīsambhūta
m:a:aṅguṣṭha
m:a:aṅguṣṭhavibhedaka
m:a:aṅguṣṭhya
m:a:aṅgūṣa
m:a:aṅgeśvara
m:a:aṅgoñcha
m:a:aṅgoñchana
m:a:aṅghrināmaka
m:a:aṅghripa
m:a:aṅghripāta
m:a:aṅghriskandha
m:a:acala
m:a:acalaśreṣṭha
m:a:acalādhipa
m:a:acintya
m:a:accha
m:a:acchaṭāśabda
m:a:acchaṭāsaṃghāta
m:a:acchabhalla
m:a:acchāvāka
m:a:acyuta
m:a:acyutaja
m:a:acyutadanta
m:a:acyutanta
m:a:acyutavāsa
m:a:acyutāgraja
m:a:acyutopādhyāya
m:a:aja
m:a:ajaka
m:a:ajakarṇa
m:a:ajakarṇaka
m:a:ajakava
m:a:ajagara
m:a:ajagava
m:a:ajagāva
m:a:ajajīvana
m:a:ajajīvika
m:a:ajana
m:a:ajanayonija
m:a:ajanāmaka
m:a:ajapa
m:a:ajapatha
m:a:ajapārśva
m:a:ajapāla
m:a:ajabhakṣa
m:a:ajamāra
m:a:ajamīḍha
m:a:ajamīłha
m:a:ajamoda
m:a:ajambha
m:a:ajaya
m:a:ajayapāla
m:a:ajayasiṃha
m:a:ajarṣabha
m:a:ajavāha
m:a:ajahalliṅga
m:a:ajāgara
m:a:ajāgala
m:a:ajāgalastana
m:a:ajājīva
m:a:ajātavyavahāra
m:a:ajāda
m:a:ajāpālaka
m:a:ajāvika
m:a:ajāśva
m:a:ajita
m:a:ajitakeśakambala
m:a:ajitavikrama
m:a:ajitāpīḍa
m:a:ajina
m:a:ajinasandha
m:a:ajira
m:a:ajirādhirāja
m:a:ajihma
m:a:ajihmaga
m:a:ajihva
m:a:ajīgarta
m:a:ajjhala
m:a:ajñātayakṣma
m:a:ajñānavidhvaṃsana
m:a:ajma
m:a:ajra
m:a:añcala
m:a:añcitapattra
m:a:añjaḥsava
m:a:añjaka
m:a:añjana
m:a:añjanaka
m:a:añjalipuṭa
m:a:añjika
m:a:añjiṣṭha
m:a:aṭamāna
m:a:aṭaruṣa
m:a:aṭarūṣa
m:a:aṭavīśikhara
m:a:aṭṭa
m:a:aṭṭaka
m:a:aṭṭapālaka
m:a:aṭṭahāsa
m:a:aṭṭahāsaka
m:a:aṭṭāṭṭahāsa
m:a:aṭṭāla
m:a:aṭṭālaka
m:a:aṭṭālikākāra
m:a:aṭṇāra
m:a:aṭhida
m:a:aḍara
m:a:aḍuva
m:a:aṇasa
m:a:aṇīmāṇḍavya
m:a:aṇuvedānta
m:a:aṇuha
m:a:aṇūbhāva
m:a:aṇḍaka
m:a:aṇḍakaṭāha
m:a:aṇḍakośa
m:a:aṇḍakoṣa
m:a:aṇḍakoṣaka
m:a:aṇḍaja
m:a:aṇḍajeśvara
m:a:aṇḍadhara
m:a:aṇḍākāra
m:a:aṇḍika
m:a:aṇḍīra
m:a:aṇḍuka
m:a:aṇvanta
m:a:ataṭa
m:a:atadguṇa
m:a:atana
m:a:atapa
m:a:atarka
m:a:atala
m:a:atasa
m:a:atikandaka
m:a:atikāya
m:a:atikṛcchra
m:a:atikeśara
m:a:atikrama
m:a:atigaṇḍa
m:a:atigandha
m:a:atigārgya
m:a:atigraha
m:a:atigrāha
m:a:atigrāhya
m:a:atigha
m:a:aticāra
m:a:aticchanda
m:a:atichattra
m:a:atichattraka
m:a:atijava
m:a:atijāgara
m:a:atithigva
m:a:atithidveṣa
m:a:atithidharma
m:a:atithisatkāra
m:a:atidatta
m:a:atidarpa
m:a:atidānta
m:a:atidāha
m:a:atidīpya
m:a:atideva
m:a:atideśa
m:a:atidoṣa
m:a:atipaṭīkṣepa
m:a:atipattra
m:a:atipara
m:a:atipāta
m:a:atipāda
m:a:atipitāmaha
m:a:atipuruṣa
m:a:atipūruṣa
m:a:atipraṇaya
m:a:atiprabandha
m:a:atipraśna
m:a:atiprasaṅga
m:a:atibala
m:a:atibālaka
m:a:atibhāra
m:a:atibhāraga
m:a:atibhāva
m:a:atimaṅgalya
m:a:atimanorathakrama
m:a:atimarśa
m:a:atimāna
m:a:atimāra
m:a:atimāruta
m:a:atimukta
m:a:atimuktaka
m:a:atimokṣa
m:a:atiyava
m:a:atiyāja
m:a:atiyoga
m:a:atiratha
m:a:atirabhasa
m:a:atirātra
m:a:atireka
m:a:atiroka
m:a:atiroga
m:a:atiromaśa
m:a:atilobha
m:a:ativara
m:a:ativartula
m:a:ativāta
m:a:ativāda
m:a:ativāsa
m:a:ativāhika
m:a:ativikaṭa
m:a:ativiśva
m:a:ativīryaprabha
m:a:ativyaya
m:a:atiśaya
m:a:atiśeṣa
m:a:atisaṃcaya
m:a:atisamparka
m:a:atisara
m:a:atisarga
m:a:atisarva
m:a:atisāra
m:a:atisitāṅgavihaṃga
m:a:atisena
m:a:atisparśa
m:a:atisvapna
m:a:atihasita
m:a:atihāra
m:a:atihāsa
m:a:atīkāśa
m:a:atīcāra
m:a:atīta
m:a:atītakāla
m:a:atīndriya
m:a:atīreka
m:a:atīvāda
m:a:atīśa
m:a:atīsāra
m:a:atula
m:a:atulyaprabha
m:a:atuṣārakara
m:a:atūrtadakṣa
m:a:atṛṇāda
m:a:atka
m:a:atkīla
m:a:atna
m:a:atya
m:a:atyaṃha
m:a:atyagniṣṭoma
m:a:atyadbhuta
m:a:atyantasaṃyoga
m:a:atyantasamparka
m:a:atyantasukumāra
m:a:atyantābhāva
m:a:atyamla
m:a:atyaya
m:a:atyayikapiṇḍapāta
m:a:atyākara
m:a:atyācāra
m:a:atyādara
m:a:atyānanda
m:a:atyāya
m:a:atyāroha
m:a:atyāla
m:a:atyāhāra
m:a:atyutsāha
m:a:atyurvīśa
m:a:atyūha
m:a:atyṛṣabha
m:a:atra
m:a:atricaturaha
m:a:atrijāta
m:a:atridṛgja
m:a:atrinetraja
m:a:atrinetraprabhava
m:a:atrinetraprasūta
m:a:atrinetrasūta
m:a:atharva
m:a:atharvaṇa
m:a:atharvabhūta
m:a:atharvaveda
m:a:atharvāṅgirasa
m:a:adattādāyika
m:a:adanta
m:a:adambha
m:a:adaraka
m:a:adarśa
m:a:adala
m:a:adākṣiṇātya
m:a:adānava
m:a:adābhya
m:a:adāra
m:a:adāsa
m:a:aditija
m:a:aditinandana
m:a:adīna
m:a:adurgaviṣaya
m:a:adṛṣṭa
m:a:adṛṣṭakāma
m:a:adṛṣṭanara
m:a:adṛṣṭaparasāmarthya
m:a:adṛṣṭapuruṣa
m:a:adeva
m:a:adeśa
m:a:adeha
m:a:adaiteya
m:a:adoha
m:a:adga
m:a:addhāpuruṣa
m:a:addhābodheya
m:a:adbhuta
m:a:adbhutadharma
m:a:adbhutarasa
m:a:adbhutasāra
m:a:adbhutasvana
m:a:adbhutotpāta
m:a:adyatana
m:a:adyatanabhūta
m:a:adyadina
m:a:adyadivasa
m:a:adyayajña
m:a:adrirāja
m:a:adriśayya
m:a:adrisāra
m:a:adrīndra
m:a:adrīśa
m:a:adroha
m:a:advaya
m:a:advayavāda
m:a:advayānanda
m:a:advaitamakaranda
m:a:advaitānanda
m:a:adhaḥkara
m:a:adhaḥkāya
m:a:adhaḥpāta
m:a:adhaḥpravāha
m:a:adhaḥprastara
m:a:adhama
m:a:adhamabhṛta
m:a:adhamabhṛtaka
m:a:adhamarṇa
m:a:adhamarṇika
m:a:adhara
m:a:adharakaṇṭha
m:a:adharakāya
m:a:adharāvalopa
m:a:adharoṣṭha
m:a:adharauṣṭha
m:a:adharma
m:a:adharmāstikāya
m:a:adhaścara
m:a:adhāmārgava
m:a:adhārāgraha
m:a:adhikadanta
m:a:adhikamāsa
m:a:adhikaraṇabhojaka
m:a:adhikaraṇamaṇḍapa
m:a:adhikaraṇalekhaka
m:a:adhikaraṇasiddhānta
m:a:adhikaraṇika
m:a:adhikarṇa
m:a:adhikarmakara
m:a:adhikarmakṛta
m:a:adhikarmika
m:a:adhikasaṃvatsara
m:a:adhikāra
m:a:adhikārapuruṣa
m:a:adhikārasaṃgraha
m:a:adhikṛta
m:a:adhikrama
m:a:adhikṣepa
m:a:adhigama
m:a:adhijihva
m:a:adhidanta
m:a:adhideva
m:a:adhinātha
m:a:adhipa
m:a:adhipaśya
m:a:adhipāśa
m:a:adhipuruṣa
m:a:adhipūruṣa
m:a:adhimantha
m:a:adhimāṃsa
m:a:adhimāṃsaka
m:a:adhimātrakāruṇika
m:a:adhimāsa
m:a:adhimukta
m:a:adhimuktika
m:a:adhimuhya
m:a:adhimokṣa
m:a:adhiyajña
m:a:adhiyoga
m:a:adhiratha
m:a:adhirāja
m:a:adhirūḍhaka
m:a:adhiroha
m:a:adhilokanātha
m:a:adhivāka
m:a:adhivājyakulādya
m:a:adhivāda
m:a:adhivāsa
m:a:adhivāha
m:a:adhivāhana
m:a:adhivīra
m:a:adhivyatikrama
m:a:adhiśaya
m:a:adhiśraya
m:a:adhiṣavaṇya
m:a:adhīkāra
m:a:adhīkṣepa
m:a:adhītaveda
m:a:adhīmantha
m:a:adhīyāna
m:a:adhīvāsa
m:a:adhīśa
m:a:adhīśvara
m:a:adhṛta
m:a:adhokṣaja
m:a:adhogama
m:a:adhogamana
m:a:adhodeśa
m:a:adhonāpita
m:a:adhonilaya
m:a:adhopahāsa
m:a:adhobāṇa
m:a:adhobhāga
m:a:adhomukha
m:a:adhorāma
m:a:adholamba
m:a:adholoka
m:a:adhovaśa
m:a:adhyakṣa
m:a:adhyadhikṣepa
m:a:adhyardhakaṃsa
m:a:adhyavasāya
m:a:adhyācāra
m:a:adhyāpakodita
m:a:adhyāya
m:a:adhyāyaśatapāṭha
m:a:adhyāropa
m:a:adhyāvāpa
m:a:adhyāśaya
m:a:adhyāsa
m:a:adhyāhāra
m:a:adhyuṣa
m:a:adhyuṣṭavalaya
m:a:adhyuṣṭra
m:a:adhyūḍha
m:a:adhyūḍhaja
m:a:adhyoḍha
m:a:adhruṣa
m:a:adhva
m:a:adhvaga
m:a:adhvagaṇa
m:a:adhvagatyanta
m:a:adhvagantavya
m:a:adhvagabhogya
m:a:adhvanīna
m:a:adhvanya
m:a:adhvara
m:a:adhvaratha
m:a:adhvaradhiṣṇya
m:a:adhvaryupatha
m:a:adhvaryuveda
m:a:adhvaśalya
m:a:adhvaśrama
m:a:adhvasaha
m:a:adhvādhipa
m:a:adhvāna
m:a:adhvāntaśātrava
m:a:adhveśa
m:a:ana
m:a:anakadundubha
m:a:anagāra
m:a:anagnidagdha
m:a:anagniṣvātta
m:a:anagha
m:a:anaṅga
m:a:anaṅgaka
m:a:anaṅgapāla
m:a:anaṅgabhīma
m:a:anaṅgaraṅga
m:a:anaṅgaśekhara
m:a:anaṅgaharṣa
m:a:anaṅgāpīḍa
m:a:anaḍudda
m:a:anaḍudyajña
m:a:anaḍuha
m:a:anatikrama
m:a:anatidāha
m:a:anatineda
m:a:anatyaya
m:a:anaddhāpuruṣa
m:a:anadyatana
m:a:anadhikāra
m:a:anadhīna
m:a:anadhīnaka
m:a:anadhyāya
m:a:anadhyāyadivasa
m:a:ananta
m:a:anantacāritra
m:a:anantatīrtha
m:a:anantadeva
m:a:anantapāla
m:a:anantabhaṭṭa
m:a:anantamūla
m:a:anantara
m:a:anantaraja
m:a:anantarajāta
m:a:anantaraya
m:a:anantarāma
m:a:anantavāta
m:a:anantavijaya
m:a:anantavīrya
m:a:ananda
m:a:ananyaja
m:a:ananyayoga
m:a:ananyānubhava
m:a:ananvagbhāva
m:a:ananvaya
m:a:ananvavacāra
m:a:ananvavajaya
m:a:ananvavāya
m:a:ananvavāyana
m:a:ananvāgama
m:a:anapakarṣa
m:a:anapakāra
m:a:anapakrama
m:a:anapakrāma
m:a:anapadeśa
m:a:anaparādha
m:a:anapasara
m:a:anapāya
m:a:anabhimlāna
m:a:anabhilakṣita
m:a:anabhilāṣa
m:a:anabhiṣaṅga
m:a:anabhiṣvaṅga
m:a:anabhisambandha
m:a:anabhihita
m:a:anabhyāroha
m:a:anabhyāsa
m:a:anabhraka
m:a:anama
m:a:anamitra
m:a:anambara
m:a:anaya
m:a:anaraṇya
m:a:anargha
m:a:anartha
m:a:anarthasaṃśaya
m:a:anarvaṇa
m:a:anala
m:a:analavāṭa
m:a:analasakha
m:a:analasāda
m:a:analopala
m:a:anavacchinnahāsa
m:a:anavatapta
m:a:anavanāmitavaijayanta
m:a:anavaratha
m:a:anavasara
m:a:anavasthāna
m:a:anavrata
m:a:anaśnantsāṅgamana
m:a:anaśva
m:a:anahaṃkāra
m:a:anākāla
m:a:anākālabhṛta
m:a:anāgatābādha
m:a:anāgama
m:a:anāgamopabhoga
m:a:anācāra
m:a:anāṭa
m:a:anātapa
m:a:anāthapiṇḍada
m:a:anāthapiṇḍika
m:a:anāda
m:a:anādara
m:a:anādarākṣepa
m:a:anādyanta
m:a:anānata
m:a:anāpāna
m:a:anāpta
m:a:anāmaka
m:a:anāmaya
m:a:anāyāsa
m:a:anārabhyavāda
m:a:anārambha
m:a:anārya
m:a:anāryatikta
m:a:anālamba
m:a:anālāpa
m:a:anāvraska
m:a:anāśakanivṛtta
m:a:anāśramavāsa
m:a:anāśramevāsa
m:a:anāśraya
m:a:anāsaṅga
m:a:anāsvāda
m:a:anāhatanāda
m:a:anāhavanīya
m:a:anāhāra
m:a:anāhlāda
m:a:anikṣiptadhūra
m:a:anigraha
m:a:anicaya
m:a:anityadatta
m:a:anityadattaka
m:a:anityadatrima
m:a:anityabhāva
m:a:anityasama
m:a:anityasamāsa
m:a:anipāta
m:a:anibādha
m:a:animitta
m:a:animittaliṅganāśa
m:a:animiṣa
m:a:animiṣācārya
m:a:aniyatāṅka
m:a:aniyama
m:a:aniyukta
m:a:aniyoga
m:a:aniruddha
m:a:anirghāta
m:a:anirṇaya
m:a:anirdeśa
m:a:anirbheda
m:a:anirmārga
m:a:anirvāpa
m:a:anirvāha
m:a:anirveda
m:a:anila
m:a:anilakumāra
m:a:anilaghnaka
m:a:anilaparyaya
m:a:anilaparyāya
m:a:anilambha
m:a:anilasakha
m:a:anilātmaja
m:a:anilāntaka
m:a:anilāmaya
m:a:anilāśana
m:a:aniṣṭagraha
m:a:aniṣṭaprasaṅga
m:a:anistīrṇābhiyoga
m:a:anīkavidāraṇa
m:a:anīkastha
m:a:anīḍa
m:a:anīla
m:a:anīśa
m:a:anīha
m:a:anukampaka
m:a:anukampya
m:a:anukara
m:a:anukarṣa
m:a:anukalpa
m:a:anukāma
m:a:anukāra
m:a:anukūla
m:a:anukūlanāyaka
m:a:anukrama
m:a:anukrośa
m:a:anukrośākṣepa
m:a:anukhañja
m:a:anugatika
m:a:anugama
m:a:anugamana
m:a:anugara
m:a:anugavīna
m:a:anuguṇa
m:a:anugraha
m:a:anugrahasarga
m:a:anugrāsaka
m:a:anucara
m:a:anucāraka
m:a:anucitārtha
m:a:anuccāra
m:a:anuccāraṇa
m:a:anucchāda
m:a:anuccheda
m:a:anuja
m:a:anujāta
m:a:anujñākṣepa
m:a:anujñāpaka
m:a:anutarṣa
m:a:anutāpa
m:a:anutoda
m:a:anutkarṣa
m:a:anuttamanya
m:a:anuttara
m:a:anuttaropapātika
m:a:anutpāda
m:a:anutsāha
m:a:anutseka
m:a:anudaya
m:a:anudarśa
m:a:anudātta
m:a:anudāttatara
m:a:anudeśa
m:a:anudghāta
m:a:anuddhata
m:a:anuddhāra
m:a:anuddhṛtābhyastamaya
m:a:anudyoga
m:a:anudvāha
m:a:anudvīpa
m:a:anudvega
m:a:anunaya
m:a:anunāda
m:a:anunāsikalopa
m:a:anunāsikānta
m:a:anunirdeśa
m:a:anunmāda
m:a:anupatha
m:a:anupada
m:a:anupadha
m:a:anupanāha
m:a:anupanyāsa
m:a:anupapādaka
m:a:anupayoga
m:a:anuparipāṭikrama
m:a:anuparodha
m:a:anuparvata
m:a:anupalambha
m:a:anupalābha
m:a:anupalāla
m:a:anupalipta
m:a:anupaśaya
m:a:anupaśānta
m:a:anupasarga
m:a:anupāṭa
m:a:anupāta
m:a:anupāya
m:a:anupāvṛtta
m:a:anupuruṣa
m:a:anupuṣpa
m:a:anuprayoga
m:a:anupraveśa
m:a:anupraveśana
m:a:anupraśna
m:a:anuprāsa
m:a:anupraiṣa
m:a:anuplava
m:a:anubandha
m:a:anubimba
m:a:anubodha
m:a:anubrāhmaṇika
m:a:anubhava
m:a:anubhāva
m:a:anubhāsa
m:a:anubhūtiprakāśa
m:a:anubhūtisvarūpācārya
m:a:anubhoga
m:a:anumantraṇamantra
m:a:anumāna
m:a:anumānakhaṇḍa
m:a:anumānaprakāśa
m:a:anumārga
m:a:anumoda
m:a:anuyāga
m:a:anuyāja
m:a:anuyājaprasava
m:a:anuyājapraiṣa
m:a:anuyoga
m:a:anuraktaloka
m:a:anuratha
m:a:anurasa
m:a:anurāga
m:a:anurādha
m:a:anurādhagrāma
m:a:anurādhapura
m:a:anuruddha
m:a:anurūpa
m:a:anurodha
m:a:anuroha
m:a:anulāpa
m:a:anulāsa
m:a:anulāsya
m:a:anulepa
m:a:anuloma
m:a:anulomakalpa
m:a:anuvaṃśa
m:a:anuvaṃśaśloka
m:a:anuvatsara
m:a:anuvaśa
m:a:anuvaṣaṭkāra
m:a:anuvaṣaṭkṛta
m:a:anuvaha
m:a:anuvāka
m:a:anuvācanapraiṣa
m:a:anuvāda
m:a:anuvāsa
m:a:anuvināśa
m:a:anuvinda
m:a:anuviśva
m:a:anuviṣṭambha
m:a:anuvedha
m:a:anuveśa
m:a:anuveśana
m:a:anuvyādha
m:a:anuvyāhāra
m:a:anuśaṃsa
m:a:anuśaya
m:a:anuśayākṣepa
m:a:anuśara
m:a:anuśikha
m:a:anuśoka
m:a:anuśrava
m:a:anuśloka
m:a:anuṣa
m:a:anuṣaṅga
m:a:anuṣeka
m:a:anuṣecana
m:a:anuṣṭra
m:a:anuṣṭhānakrama
m:a:anuṣṭhānika
m:a:anuṣyanda
m:a:anusaṃtāna
m:a:anusamaya
m:a:anusarga
m:a:anusarpa
m:a:anusāra
m:a:anustaraṇa
m:a:anusvāna
m:a:anusvāra
m:a:anusvāravyavāya
m:a:anusvārāgama
m:a:anuha
m:a:anuharaṇa
m:a:anuhava
m:a:anuhāra
m:a:anuhārya
m:a:anuhoḍa
m:a:anuhoma
m:a:anuhrāda
m:a:anuhlāda
m:a:anūkāśa
m:a:anūtsarga
m:a:anūdara
m:a:anūddeśa
m:a:anūpa
m:a:anūpadeśa
m:a:anūpavilāsa
m:a:anūha
m:a:anṛtadeva
m:a:anṛtasarvasva
m:a:anekagotra
m:a:anekacittamantra
m:a:anekaja
m:a:anekadhāprayoga
m:a:anekalocana
m:a:anekāntavāda
m:a:anekārthasaṃgraha
m:a:aneḍa
m:a:anokaha
m:a:anoratha
m:a:anaurasa
m:a:anta
m:a:antaḥkalpa
m:a:antaḥkuṭila
m:a:antaḥkoṇa
m:a:antaḥkopa
m:a:antaḥpaṭa
m:a:antaḥpāta
m:a:antaḥpātya
m:a:antaḥpāla
m:a:antaḥpuracara
m:a:antaḥpurajana
m:a:antaḥpurapracāra
m:a:antaḥpurarakṣaka
m:a:antaḥpurasahāya
m:a:antaḥpurādhyakṣa
m:a:antaḥpurāvacara
m:a:antaḥpurika
m:a:antaḥpramoda
m:a:antaḥpraveśa
m:a:antaḥśara
m:a:antaḥśailaja
m:a:antaḥśleṣa
m:a:antaḥśleṣaṇa
m:a:antaḥsāra
m:a:antaḥsthamudgara
m:a:antaḥsthībhāva
m:a:antaḥsveda
m:a:antaka
m:a:antakāla
m:a:antapāla
m:a:antarakośa
m:a:antaratama
